N 100 
0 11 81
1 131 149
2 86 170
3 127 107
4 139 145
5 181 12
6 8 24
7 77 9
8 128 175
9 179 32
10 15 62
11 71 132
12 29 25
13 73 97
14 133 1
15 154 142
16 85 53
17 17 96
18 195 137
19 164 193
20 160 63
21 195 121
22 67 199
23 107 105
24 10 139
25 188 74
26 70 113
27 132 9
28 92 55
29 172 66
30 184 85
31 146 24
32 156 80
33 103 38
34 179 122
35 22 89
36 103 185
37 186 185
38 123 98
39 72 45
40 180 7
41 94 68
42 138 146
43 35 105
44 157 30
45 119 17
46 139 149
47 84 77
48 183 148
49 183 28
50 13 67
51 142 43
52 119 22
53 108 20
54 39 3
55 46 71
56 186 15
57 123 51
58 122 59
59 148 79
60 44 133
61 45 199
62 68 28
63 0 17
64 79 59
65 38 127
66 188 44
67 125 27
68 177 59
69 35 140
70 184 157
71 105 192
72 4 42
73 117 179
74 113 171
75 75 107
76 13 117
77 140 27
78 166 150
79 80 86
80 25 200
81 87 66
82 186 20
83 151 82
84 134 79
85 142 169
86 15 66
87 26 52
88 64 137
89 165 6
90 134 28
91 176 8
92 106 64
93 76 63
94 192 82
95 140 121
96 172 128
97 29 169
98 174 9
99 1 198
