N 100 
0 52 55
1 63 6
2 11 84
3 35 78
4 171 79
5 31 114
6 57 173
7 98 8
8 70 18
9 110 86
10 17 182
11 169 29
12 78 126
13 131 54
14 88 93
15 153 186
16 197 79
17 199 58
18 58 60
19 84 176
20 76 70
21 24 200
22 106 190
23 26 21
24 2 140
25 52 90
26 169 121
27 76 105
28 48 64
29 200 163
30 95 160
31 51 99
32 101 200
33 1 30
34 122 51
35 5 57
36 1 150
37 34 198
38 156 151
39 32 96
40 56 136
41 31 127
42 66 129
43 74 27
44 20 91
45 148 49
46 171 67
47 88 13
48 154 130
49 16 168
50 160 15
51 187 55
52 103 110
53 178 73
54 56 104
55 129 197
56 91 197
57 44 78
58 70 180
59 79 106
60 169 160
61 44 22
62 82 67
63 16 128
64 96 193
65 63 19
66 98 116
67 127 61
68 31 161
69 61 66
70 72 154
71 171 82
72 67 101
73 14 33
74 118 77
75 98 146
76 67 182
77 52 18
78 55 47
79 23 149
80 162 112
81 87 160
82 183 37
83 154 180
84 44 136
85 160 24
86 12 8
87 88 187
88 4 197
89 154 134
90 8 95
91 155 4
92 2 92
93 147 66
94 122 165
95 67 185
96 31 79
97 126 21
98 27 39
99 170 2
