N 100 
0 152 33
1 191 180
2 42 196
3 118 85
4 2 151
5 148 28
6 53 41
7 105 83
8 16 148
9 14 176
10 1 159
11 195 5
12 155 10
13 61 161
14 90 113
15 190 88
16 148 82
17 182 154
18 115 112
19 170 171
20 160 28
21 171 2
22 123 66
23 81 100
24 60 148
25 111 194
26 6 95
27 157 75
28 11 109
29 121 113
30 135 135
31 99 66
32 174 60
33 64 83
34 158 102
35 49 55
36 162 72
37 78 78
38 148 111
39 103 154
40 55 189
41 51 9
42 69 135
43 88 165
44 109 45
45 25 169
46 7 163
47 77 42
48 35 78
49 169 72
50 16 15
51 61 52
52 2 134
53 33 43
54 132 10
55 27 151
56 185 114
57 73 111
58 42 115
59 124 141
60 176 43
61 128 83
62 23 147
63 153 78
64 122 40
65 70 187
66 175 62
67 23 68
68 125 48
69 134 21
70 40 135
71 80 107
72 163 136
73 41 69
74 11 126
75 69 23
76 139 132
77 182 158
78 192 106
79 160 192
80 178 73
81 151 157
82 184 60
83 120 186
84 127 79
85 7 56
86 91 80
87 4 136
88 17 32
89 146 111
90 58 138
91 164 113
92 97 39
93 142 176
94 50 173
95 89 183
96 59 30
97 196 24
98 6 123
99 102 131
