N 100 
0 131 142
1 68 152
2 162 183
3 22 16
4 32 90
5 143 118
6 147 171
7 41 32
8 170 64
9 67 59
10 133 105
11 171 158
12 93 193
13 0 16
14 194 199
15 0 139
16 129 80
17 111 162
18 44 127
19 163 134
20 147 33
21 28 101
22 161 12
23 197 46
24 168 88
25 131 115
26 6 196
27 174 47
28 110 186
29 174 49
30 71 127
31 88 158
32 71 141
33 52 107
34 68 117
35 38 184
36 47 60
37 132 23
38 120 19
39 199 53
40 88 57
41 31 122
42 190 11
43 79 115
44 135 86
45 86 86
46 112 176
47 5 190
48 159 84
49 13 157
50 141 192
51 117 23
52 61 108
53 98 146
54 98 186
55 78 183
56 119 80
57 151 4
58 175 63
59 182 102
60 81 117
61 96 108
62 164 47
63 154 197
64 74 49
65 45 195
66 100 200
67 43 19
68 192 198
69 177 141
70 109 37
71 40 129
72 134 64
73 40 12
74 23 167
75 124 101
76 158 35
77 43 73
78 3 167
79 82 183
80 147 128
81 42 149
82 1 152
83 77 49
84 144 142
85 23 134
86 175 108
87 40 65
88 60 188
89 84 127
90 76 182
91 122 54
92 1 16
93 4 113
94 73 107
95 83 171
96 132 102
97 136 120
98 119 45
99 21 129
