N 100 
0 123 16
1 33 71
2 9 52
3 41 190
4 10 133
5 113 11
6 2 65
7 109 168
8 157 75
9 128 155
10 36 150
11 67 196
12 10 183
13 101 30
14 7 82
15 169 71
16 62 6
17 24 50
18 169 180
19 25 172
20 178 160
21 18 75
22 2 93
23 185 34
24 179 139
25 135 161
26 24 75
27 121 102
28 135 60
29 62 118
30 69 52
31 41 174
32 191 188
33 161 142
34 71 200
35 191 8
36 3 124
37 138 81
38 162 8
39 26 63
40 43 88
41 197 118
42 8 21
43 147 157
44 149 0
45 122 189
46 113 190
47 103 143
48 13 47
49 15 187
50 98 71
51 0 36
52 18 126
53 167 155
54 103 45
55 133 180
56 138 115
57 40 175
58 41 89
59 52 79
60 55 163
61 131 14
62 120 120
63 51 44
64 195 39
65 139 178
66 99 72
67 62 155
68 55 133
69 168 190
70 75 53
71 178 31
72 117 160
73 183 82
74 101 36
75 2 161
76 39 58
77 157 56
78 109 66
79 160 194
80 22 23
81 192 163
82 103 104
83 144 111
84 29 168
85 200 37
86 125 122
87 123 131
88 9 16
89 55 2
90 135 31
91 3 162
92 38 96
93 65 50
94 102 156
95 43 32
96 133 18
97 98 139
98 112 89
99 4 90
