N 100 
0 31 133
1 180 200
2 115 121
3 199 141
4 67 10
5 145 187
6 68 74
7 104 36
8 153 122
9 188 163
10 34 19
11 153 156
12 152 68
13 39 137
14 148 194
15 15 124
16 68 190
17 24 104
18 28 125
19 16 156
20 171 126
21 87 27
22 150 186
23 82 25
24 81 147
25 35 136
26 115 97
27 147 39
28 99 178
29 4 154
30 39 138
31 119 53
32 124 44
33 127 140
34 26 91
35 6 132
36 132 181
37 17 91
38 9 160
39 140 129
40 83 112
41 7 121
42 170 179
43 33 112
44 102 144
45 169 66
46 44 107
47 92 91
48 181 199
49 172 94
50 75 62
51 7 106
52 5 70
53 161 74
54 171 12
55 158 151
56 48 44
57 77 107
58 49 155
59 74 83
60 186 6
61 92 103
62 148 118
63 8 139
64 8 140
65 11 14
66 98 97
67 86 78
68 111 144
69 104 122
70 81 98
71 91 200
72 94 103
73 150 74
74 150 47
75 98 159
76 161 159
77 13 16
78 194 121
79 175 160
80 177 69
81 49 162
82 161 172
83 92 37
84 165 13
85 167 167
86 174 174
87 7 170
88 28 127
89 80 41
90 176 87
91 63 19
92 105 98
93 187 148
94 17 196
95 28 8
96 123 147
97 76 123
98 188 158
99 52 46
