N 100 
0 157 185
1 117 104
2 104 136
3 43 34
4 98 86
5 47 113
6 178 69
7 40 56
8 138 81
9 123 112
10 168 145
11 105 179
12 180 181
13 136 17
14 11 46
15 95 93
16 67 103
17 49 27
18 28 193
19 146 114
20 179 129
21 54 38
22 26 12
23 18 122
24 78 70
25 134 106
26 9 154
27 36 61
28 171 75
29 174 116
30 84 0
31 193 38
32 112 59
33 85 37
34 184 189
35 120 118
36 28 77
37 62 112
38 35 98
39 192 128
40 80 63
41 148 75
42 191 172
43 53 150
44 56 164
45 163 125
46 36 167
47 141 43
48 115 116
49 122 54
50 33 3
51 55 200
52 162 112
53 125 76
54 141 125
55 75 179
56 12 152
57 102 1
58 110 176
59 0 171
60 73 187
61 40 81
62 64 191
63 9 122
64 108 175
65 170 1
66 195 191
67 140 32
68 49 87
69 174 161
70 61 25
71 13 23
72 52 45
73 39 105
74 134 154
75 117 18
76 164 103
77 165 5
78 166 130
79 178 92
80 140 196
81 47 173
82 104 200
83 34 134
84 80 84
85 13 142
86 179 156
87 96 77
88 124 31
89 126 65
90 162 11
91 44 9
92 152 12
93 152 106
94 0 5
95 197 7
96 56 25
97 22 179
98 187 158
99 178 53
