N 100 
0 69 152
1 92 192
2 50 44
3 140 126
4 96 44
5 189 162
6 53 96
7 117 183
8 127 153
9 42 91
10 59 89
11 33 160
12 48 64
13 179 20
14 156 131
15 113 165
16 133 185
17 75 196
18 174 74
19 103 196
20 145 99
21 23 88
22 59 62
23 82 138
24 152 142
25 133 199
26 112 77
27 152 105
28 74 144
29 8 129
30 162 136
31 159 190
32 139 136
33 144 80
34 22 29
35 177 101
36 122 12
37 47 196
38 113 153
39 55 109
40 150 75
41 165 95
42 48 68
43 50 53
44 36 180
45 72 66
46 108 135
47 52 47
48 28 27
49 162 48
50 57 182
51 148 10
52 170 74
53 74 95
54 40 197
55 83 73
56 199 30
57 95 168
58 6 153
59 172 197
60 144 123
61 61 150
62 27 161
63 127 37
64 195 137
65 165 73
66 19 134
67 121 128
68 196 25
69 49 122
70 193 75
71 90 152
72 6 55
73 161 166
74 17 158
75 2 130
76 104 194
77 18 77
78 134 66
79 193 14
80 155 46
81 93 149
82 30 182
83 198 1
84 102 89
85 7 176
86 78 33
87 17 128
88 19 156
89 157 173
90 131 20
91 41 162
92 130 180
93 54 54
94 180 49
95 140 82
96 181 165
97 70 123
98 150 33
99 172 121
