N 100 
0 55 8
1 14 188
2 17 17
3 174 162
4 101 122
5 133 162
6 135 27
7 168 120
8 97 71
9 194 0
10 58 104
11 134 115
12 24 185
13 158 68
14 36 119
15 181 46
16 129 45
17 149 5
18 118 33
19 28 46
20 53 177
21 52 132
22 66 16
23 148 178
24 81 109
25 112 23
26 35 124
27 70 197
28 153 146
29 58 129
30 35 71
31 73 28
32 29 0
33 13 120
34 101 192
35 13 86
36 166 184
37 177 49
38 67 53
39 35 137
40 130 74
41 133 7
42 126 65
43 175 21
44 102 154
45 130 49
46 44 136
47 196 191
48 15 119
49 69 45
50 200 105
51 151 154
52 112 71
53 181 26
54 112 60
55 57 63
56 181 11
57 197 83
58 68 148
59 75 63
60 17 145
61 102 66
62 34 37
63 0 176
64 136 75
65 93 200
66 8 157
67 91 21
68 103 46
69 149 77
70 160 87
71 42 91
72 124 198
73 188 143
74 20 22
75 160 25
76 5 157
77 173 193
78 78 105
79 74 36
80 65 198
81 118 190
82 5 106
83 87 79
84 92 186
85 156 120
86 45 15
87 86 195
88 185 155
89 172 119
90 183 168
91 159 130
92 144 141
93 13 143
94 166 103
95 142 123
96 47 15
97 67 8
98 62 64
99 34 52
