N 100 
0 157 60
1 20 180
2 6 35
3 93 86
4 146 172
5 106 166
6 165 161
7 14 147
8 60 51
9 186 156
10 163 100
11 4 125
12 166 35
13 169 192
14 11 174
15 166 118
16 136 90
17 78 190
18 64 47
19 192 6
20 33 187
21 88 113
22 21 65
23 92 130
24 127 27
25 15 154
26 155 40
27 103 194
28 20 117
29 15 97
30 189 162
31 26 63
32 112 70
33 11 115
34 41 135
35 82 84
36 13 170
37 17 31
38 52 139
39 62 119
40 8 147
41 110 180
42 36 115
43 178 28
44 133 172
45 172 67
46 158 81
47 70 150
48 144 43
49 71 167
50 44 42
51 26 172
52 166 97
53 54 60
54 12 89
55 112 45
56 100 40
57 126 47
58 48 54
59 118 2
60 66 67
61 166 9
62 167 150
63 200 199
64 162 123
65 34 9
66 40 25
67 122 28
68 135 194
69 107 5
70 157 62
71 114 146
72 53 3
73 194 31
74 20 184
75 101 70
76 29 160
77 196 21
78 131 74
79 148 148
80 133 135
81 8 168
82 139 47
83 39 40
84 132 196
85 1 62
86 62 189
87 86 147
88 121 113
89 53 76
90 88 49
91 34 49
92 36 107
93 159 92
94 98 198
95 175 184
96 74 177
97 160 56
98 34 115
99 108 131
