N 100 
0 194 185
1 10 88
2 131 47
3 66 122
4 49 133
5 81 45
6 86 151
7 69 97
8 77 127
9 168 94
10 12 90
11 193 127
12 59 32
13 158 16
14 170 116
15 27 138
16 185 110
17 137 68
18 82 190
19 58 102
20 78 171
21 20 180
22 160 4
23 56 133
24 95 110
25 153 95
26 135 16
27 69 3
28 153 109
29 195 161
30 158 134
31 102 1
32 25 17
33 142 157
34 41 168
35 40 55
36 156 56
37 42 131
38 55 45
39 13 166
40 165 21
41 76 23
42 122 92
43 33 94
44 129 94
45 158 100
46 8 176
47 55 14
48 86 110
49 199 70
50 170 169
51 7 103
52 38 35
53 62 98
54 124 182
55 8 10
56 92 46
57 49 165
58 57 37
59 86 24
60 74 0
61 163 35
62 1 173
63 164 61
64 13 118
65 69 117
66 191 179
67 91 196
68 122 140
69 83 166
70 109 193
71 36 87
72 7 52
73 50 24
74 170 36
75 147 126
76 120 128
77 54 88
78 119 129
79 177 22
80 145 152
81 120 124
82 198 89
83 156 26
84 72 159
85 69 57
86 194 181
87 81 49
88 95 113
89 144 51
90 123 150
91 63 7
92 67 196
93 92 173
94 115 56
95 3 59
96 56 10
97 112 97
98 54 161
99 49 76
