N 100 
0 121 196
1 98 121
2 14 166
3 162 79
4 168 52
5 148 106
6 80 41
7 128 45
8 39 39
9 161 60
10 132 70
11 23 93
12 10 9
13 180 66
14 144 143
15 82 144
16 109 42
17 21 156
18 95 102
19 118 35
20 128 96
21 37 46
22 191 51
23 24 183
24 128 94
25 61 137
26 48 85
27 176 71
28 141 86
29 174 20
30 26 76
31 153 156
32 178 105
33 152 143
34 22 33
35 184 51
36 68 151
37 11 39
38 95 179
39 107 5
40 15 17
41 140 93
42 23 128
43 107 34
44 68 111
45 79 59
46 196 71
47 11 182
48 70 84
49 0 4
50 63 190
51 191 127
52 82 18
53 138 46
54 99 72
55 170 92
56 199 80
57 12 195
58 85 149
59 3 9
60 185 31
61 129 118
62 113 125
63 127 70
64 166 70
65 0 182
66 100 127
67 64 170
68 44 58
69 54 65
70 187 116
71 198 109
72 123 13
73 67 68
74 65 168
75 190 112
76 33 70
77 135 140
78 147 116
79 79 41
80 136 110
81 187 27
82 63 91
83 107 6
84 7 6
85 48 38
86 133 120
87 22 195
88 67 27
89 88 189
90 14 160
91 47 2
92 8 183
93 109 73
94 170 169
95 162 21
96 63 200
97 118 11
98 177 193
99 180 69
