N 100 
0 7 24
1 79 54
2 144 200
3 90 110
4 31 63
5 85 170
6 177 99
7 81 83
8 93 172
9 139 91
10 152 56
11 122 183
12 41 14
13 106 9
14 34 100
15 86 40
16 152 46
17 97 11
18 94 85
19 9 72
20 90 72
21 18 194
22 156 188
23 35 15
24 47 194
25 78 72
26 195 150
27 175 2
28 116 40
29 133 86
30 23 177
31 93 88
32 126 36
33 32 129
34 53 117
35 142 38
36 171 24
37 126 120
38 74 181
39 63 31
40 71 42
41 165 154
42 136 64
43 60 154
44 1 129
45 7 44
46 19 48
47 38 88
48 105 83
49 142 170
50 64 99
51 61 134
52 82 75
53 177 12
54 90 184
55 170 173
56 77 100
57 80 157
58 26 3
59 6 105
60 100 18
61 156 28
62 116 84
63 175 61
64 155 108
65 73 164
66 7 143
67 158 40
68 200 49
69 156 131
70 97 102
71 183 132
72 71 55
73 178 47
74 178 147
75 139 61
76 161 27
77 197 189
78 55 131
79 193 105
80 43 91
81 43 34
82 57 131
83 141 86
84 51 42
85 178 4
86 172 192
87 105 56
88 106 160
89 53 162
90 162 196
91 195 40
92 189 73
93 152 82
94 122 99
95 96 20
96 138 75
97 34 98
98 193 123
99 199 153
