N 100 
0 85 121
1 94 102
2 88 7
3 40 163
4 39 170
5 68 193
6 178 54
7 134 179
8 144 146
9 69 44
10 121 144
11 49 3
12 176 179
13 137 104
14 102 97
15 54 111
16 105 65
17 37 107
18 43 44
19 86 192
20 18 182
21 119 170
22 197 28
23 95 57
24 36 41
25 74 99
26 55 100
27 48 42
28 142 98
29 5 183
30 84 178
31 157 138
32 119 198
33 44 94
34 129 187
35 98 45
36 79 62
37 178 27
38 8 126
39 71 77
40 75 24
41 54 79
42 51 171
43 122 187
44 200 163
45 92 188
46 101 15
47 182 67
48 113 117
49 181 170
50 179 59
51 145 111
52 152 95
53 81 174
54 37 50
55 0 42
56 163 70
57 121 67
58 97 100
59 125 49
60 198 56
61 161 81
62 69 131
63 0 27
64 42 178
65 153 15
66 130 32
67 156 129
68 19 102
69 66 24
70 112 36
71 9 124
72 130 139
73 145 192
74 103 108
75 44 73
76 169 40
77 73 18
78 79 111
79 46 52
80 112 67
81 162 194
82 199 142
83 141 149
84 78 24
85 38 40
86 28 50
87 170 14
88 197 138
89 157 41
90 94 5
91 135 165
92 194 132
93 199 36
94 182 74
95 144 151
96 80 177
97 60 184
98 50 84
99 80 189
