N 100 
0 99 70
1 123 185
2 89 31
3 189 96
4 198 53
5 175 31
6 15 87
7 175 102
8 44 106
9 8 30
10 24 30
11 172 88
12 139 73
13 119 113
14 25 155
15 58 175
16 192 183
17 76 70
18 137 54
19 44 112
20 166 112
21 156 46
22 115 127
23 23 18
24 154 156
25 89 117
26 176 75
27 61 126
28 162 156
29 80 52
30 115 34
31 107 71
32 175 62
33 118 107
34 127 108
35 194 183
36 31 43
37 24 199
38 187 169
39 75 109
40 178 78
41 10 196
42 145 149
43 149 186
44 124 175
45 70 81
46 195 88
47 73 67
48 173 51
49 114 124
50 2 170
51 174 151
52 32 107
53 153 54
54 8 14
55 180 108
56 139 163
57 24 93
58 22 183
59 198 1
60 152 141
61 14 196
62 52 135
63 111 154
64 132 138
65 140 114
66 50 157
67 28 138
68 138 31
69 122 49
70 16 18
71 89 130
72 143 161
73 95 8
74 23 119
75 2 150
76 22 149
77 139 123
78 14 61
79 60 99
80 85 132
81 124 174
82 64 162
83 69 20
84 132 57
85 192 126
86 56 92
87 87 0
88 90 32
89 137 181
90 51 84
91 87 109
92 131 92
93 81 162
94 102 151
95 54 67
96 178 29
97 100 180
98 74 200
99 183 182
