N 100 
0 113 110
1 182 8
2 39 27
3 31 193
4 166 68
5 198 198
6 132 36
7 40 113
8 91 146
9 173 92
10 27 32
11 68 185
12 176 92
13 25 164
14 0 26
15 160 143
16 149 160
17 72 10
18 192 109
19 103 51
20 36 170
21 200 168
22 50 69
23 5 93
24 100 189
25 15 60
26 77 44
27 142 118
28 164 146
29 25 104
30 176 48
31 194 147
32 28 177
33 53 180
34 43 48
35 164 187
36 52 70
37 28 100
38 180 157
39 117 14
40 13 1
41 50 173
42 50 7
43 25 94
44 77 68
45 182 161
46 36 12
47 84 48
48 86 156
49 37 7
50 177 47
51 159 32
52 152 144
53 103 46
54 111 176
55 190 176
56 32 123
57 187 54
58 113 104
59 3 108
60 104 165
61 68 120
62 87 101
63 17 64
64 105 69
65 102 156
66 61 85
67 174 125
68 83 92
69 11 53
70 193 191
71 198 52
72 179 125
73 71 106
74 131 16
75 31 188
76 40 46
77 171 23
78 140 91
79 143 23
80 133 89
81 42 101
82 23 135
83 151 145
84 138 101
85 60 75
86 79 27
87 192 138
88 187 173
89 94 28
90 178 194
91 128 106
92 76 189
93 170 0
94 113 119
95 46 11
96 20 61
97 60 151
98 179 96
99 63 179
